version,publishedtime,url,length of content,md5
version1.0,12/02/2020 17:52,https://www.cbc.ca/news/a-whole-country-locked-inside-china-struggles-with-coronavirus-and-a-new-normal-1.5460806,10309,9A4CA4FE96C782E4B254E56AA65BFB3C
version1.0,12/02/2020 9:00,https://www.cbc.ca/news/health/coronavirus-china-who-bruce-aylward-1.5459615,10880,F6D34ECBCCB0DF6559A6F250E524D8E3
version1.0,13/02/2020 21:35,https://www.cbc.ca/news/entertainment/coronavirus-cancellations-1.5462518,9855,569A42AA6F087705B0425F0F0C740CDD
version1.0,15/02/2020 0:38,https://www.cbc.ca/news/canada/british-columbia/coronavirus-bc-fifth-case-1.5464511,7128,13BDD4504EB7E65590A8DBAB2B54AD38
version1.0,07/02/2020 21:51,https://www.cbc.ca/radio/quirks/feb-8-coronavirus-treatment-parentese-helps-baby-talk-seals-clap-back-and-more-1.5454918/treating-the-coronavirus-improvising-now-but-with-real-hope-on-the-horizon-1.5454940,11487,8B7349E637903C6FA25CBFA60A189063
version1.0,15/02/2020 18:48,https://www.cbc.ca/news/health/need-to-know-coronavirus-international-cooperation-1.5464066,13465,014921B2286EFA0C45A27C6BCE612541
version1.0,12/02/2020 12:09,https://www.cbc.ca/news/world/coronavirus-deaths-who-1.5459237,13698,13253D6ACED7D7A94B86303DBE6DEA4E
version1.0,07/02/2020 21:51,http://www.cbc.ca/1.5454940,11487,8B7349E637903C6FA25CBFA60A189063
version2.0,30/03/2020 9:52,https://www.cbc.ca/news/politics/repatriating-canadians-from-china-amid-coronavirus-outbreak-sunday-scrum-1.5449388,4196,9C8EF55811AAD6D9DA0942D806A3095B
version2.0,30/03/2020 9:52,https://www.cbc.ca/news/world/what-we-actually-know-about-the-coronavirus-1.5449100,4203,EF0D7D8D088F04D55351D004B3C0F0DB
version1.0,23/03/2020 16:19,https://www.cbc.ca/news/canada/windsor/michigan-covid19-home-order-1.5506729,4457,282D91619E312FDF17CCD85848120675
version1.0,11/02/2020 6:16,https://www.cbc.ca/news/world/coronavirus-feb-10-1.5457919,12937,D0A80886A3D9F8325A5AB8ABFA1EEAA2
version1.0,15/02/2020 1:52,https://www.cbc.ca/news/world/who-china-coronavirus-feb-14-1.5463729,17991,FBFE3EDBC6562E6E91E2E3D2DCC21E50
version1.0,03/03/2020 15:09,https://www.cbc.ca/news/world/u-k-sets-out-battle-plan-to-try-to-contain-spread-of-coronavirus-1.5483519,7293,471EE4704D8003FE563118CCDB411677
version1.0,24/02/2020 11:08,https://www.cbc.ca/news/health/china-coronavirus-cover-up-claims-1.5471946,17738,2CAE8D81426743DE61B7822A747E6137
version1.0,12/02/2020 21:12,https://www.cbc.ca/news/health/coronavirus-today-feb-11-1.5459480,11380,3803EB31FF38DA9B2D74AA04C7435F8A
version1.0,04/02/2020 20:48,https://www.cbc.ca/news/entertainment/coronavirus-concerts-cancelled-in-china-and-asia-1.5451110,7029,15354064DA1E7453C4E2F07DD5C2225C
version1.0,30/03/2020 9:53,https://www.cbc.ca/player/play/1692308547718,4203,EF0D7D8D088F04D55351D004B3C0F0DB
version1.0,26/01/2020 23:26,https://www.cbc.ca/news/theweekly/in-china-people-wonder-how-open-government-is-being-over-coronavirus-1.5441061,7982,75B9E4D621030122A54CA1261F5A1D34
version1.0,12/02/2020 14:58,https://www.cbc.ca/news/technology/coronovirus-misinformation-1.5460196,12901,828A23A2022709590A308B8DD002373E
version1.0,30/03/2020 9:53,https://www.cbc.ca/kidsnews//site/search_results/browse_topics/?q=coronavirus&browse=true,684,DF8490558394C3B6875BF65A337DF8B6
version1.0,30/03/2020 9:53,https://www.cbc.ca/kidsnews/post/heres-everything-you-need-to-know-about-the-coronavirus,379,A59E8288C2374A1544362F934035131B
version1.0,30/03/2020 9:53,https://www.cbc.ca/kidsnews/post/watch-coronavirus-facts-versus-fiction,6631,B43D892BA934772C91DE5A05D6749ADB
version1.0,29/01/2020 0:44,https://www.cbc.ca/news/canada/british-columbia/coronavirus-bc-updates-1.5442971,10511,EFE51216B2720F389296066367C1CFBF
version2.0,30/03/2020 9:53,https://www.cbc.ca/news/thenational/coronavirus-outbreak-advice-and-misconceptions-1.5449767,4027,499653F3643AB8813573310CCBB65F9C
version1.0,30/03/2020 9:53,https://news.qq.com//zt2020/page/feiyan.htm,15,AB758CAFEE03099849B75FE6D69EA8F0
version1.0,06/02/2020 22:10,https://www.cbc.ca/news/technology/qq-tencent-coronavirus-real-death-toll-1.5454818,8590,BDA27401F74B85C6ADD3CAFDAA811B87
version1.0,27/01/2020 16:56,https://www.cbc.ca/news/world/coronavirus-symptoms-travel-quarantine-china-1.5441010,11828,027341452471FE4C0FE859E5D5845771
version1.0,07/02/2020 21:54,https://www.cbc.ca/radio/quirks/feb-8-coronavirus-treatment-parentese-helps-baby-talk-seals-clap-back-and-more-1.5454918,3506,CB1D4E7E07F81F609F336F785BD6D233
version1.0,29/01/2020 20:20,https://www.cbc.ca/news/china-coronavirus-infection-foreigners-1.5444076,12562,875B60AF9030C54DA2BFAFA4D772172E
version1.0,28/01/2020 20:12,https://www.cbc.ca/news/business/canada-coronavirus-business-1.5443045,7590,C3528F835A911E968B4E65418C2F93F1
version1.0,29/01/2020 2:16,https://www.cbc.ca/news/canada/toronto/toronto-coronavirus-hotline-1.5443262,6790,05841FF2E56976F43D8CE20A1E2D7CFC
version1.0,30/01/2020 12:30,https://www.cbc.ca/news/politics/coronavirus-canada-china-consular-1.5444188,15101,9AF77408F18CA2F7228B4AA0D7C22CE4
version1.0,06/02/2020 20:23,https://www.cbc.ca/news/world/china-hospitals-coronavirus-1.5453883,11609,B4DF8DBD44D5F994C8AD38995AE1D65F
version1.0,30/01/2020 4:54,https://www.cbc.ca/news/business/coronavirus-air-travel-1.5444326,8047,B1C505522C1CE7D0D8C88C37EDDB188B
version1.0,29/01/2020 0:26,https://www.cbc.ca/news/politics/coronavirus-canada-response-1.5443063,9135,5C40E0D49BB68B446E675C20C1485593
version1.0,31/01/2020 21:56,https://www.cbc.ca/radio/quirks/feb-1-understanding-the-coronavirus-cyborg-jellyfish-judging-cat-pain-and-more-1.5446302/tracking-coronaviruses-post-sars-how-science-has-made-for-rapid-response-1.5446309,10285,295784B048C346DF4CCDA6A5972F30F1
version1.0,07/02/2020 13:24,https://www.cbc.ca/news/world/chinese-doctor-sounded-alarm-coronavirus-dies-1.5454863,11919,6FC216D9875F223A4BF2CD1474077226
version1.0,29/01/2020 12:54,https://www.cbc.ca/news/canada/manitoba/china-coronavirus-online-chatter-conspiracy-1.5442376,10151,A436F563060964165AA9549CA5E4B93F
version1.0,30/03/2020 9:54,http://www.bccdc.ca/health-professionals/clinical-resources/case-definitions/covid-19-(novel-coronavirus),23912,1A59D5621A454C053BB618B36DACDD87
version1.0,30/03/2020 9:54,https://www.canada.ca/en/public-health/services/diseases/coronavirus-disease-covid-19.html,7353,0F8B968EDCD59166A9FC344BA8A0A6DF
version1.0,30/03/2020 9:54,https://www.canada.ca/en/public-health/news/2020/03/statement-on-a-case-of-coronavirus-disease-covid-19-in-a-passenger-from-the-grand-princess.html,4003,CE2484EA28937BBF02A2D5CE35BA23B0
version1.0,30/03/2020 9:55,https://www.canada.ca/en/public-health/services/diseases/2019-novel-coronavirus-infection.html?utm_campaign=not-applicable&utm_medium=vanity-url&utm_source=canada-ca_coronavirus,16561,0C0A32CE2F81BECCDA4438738397018E
version1.0,30/03/2020 9:55,https://www.canada.ca/en/immigration-refugees-citizenship/news/notices/coronavirus-iran-sk.html,3162,439989183AAA8A63A18550524145C891
version1.0,29/01/2020 3:30,https://www.cbc.ca/news/canada/british-columbia/bc-rumours-panic-coronavirus-outbreak-1.5443998,8261,3B1847F5F57BB32B04AC8FC8A8F3FFBB
version1.0,30/03/2020 9:55,https://www.canada.ca/en/public-health/news/2020/02/update-2-statement-from-the-chief-public-health-officer-on-the-release-of-selected-individuals-from-quarantine-for-the-2019-novel-coronavirus.html,3151,50C2B4C6B5DE2DA1E6E65CF3ACC7D95F
version1.0,30/03/2020 9:55,https://www.canada.ca/en/public-health/services/diseases/coronavirus-disease-covid-19.html?utm_campaign=not-applicable&utm_medium=vanity-url&utm_source=canada-ca_coronavirus,7353,0F8B968EDCD59166A9FC344BA8A0A6DF
